Account ID,Created By,Date,Subject,Account Name,Last name,Full Comments
0016000001C4gJG,johncascio,01-09-2015,Prospecting,Oil City School District,a,Talked to Susan Fisher. Winter services are going out to bid. scheduled meeting for next week. Important dates: Sept 9th; last ad running in newspaper Sept 18th; bids are due Sept 21st: bids will be presented at board meeting Sept 28th; decision will be made on choice of service provider
,,,,,a,
,,,,,a,
,,,,,a,
,,,,,a,
,,,,,a,
0016000001C3v2W,johncascio,01-09-2015,Initial Meeting,"Shadely Residence, Chuck",a,"met with bev and chuck... they have let their plantings bed go this year; and now they are out of control in their sense of the word. they would like to re-do the entire front and a small portion of the back. The remaining areas, they just need a few plants removed. Then, in the spring of next year, they will be looking to have the rest of the beds cleaned up. Immediate needs are to take everything out of front beds and provide new plantings. also, to remove the handful of shrubs that he cant remove himself. Timing: fall 2015 Budget: $4500"
,,,,,a,
,,,,,a,
,,,,,a,
0016000000hZe1H,johncascio,01-09-2015,Initial Meeting,UCIP,a,"met with Frank Harper at one of the home locations. They are looking to have some chain link fence installed in the back section of the home. They are required to have a closed space for tenant to be able to go out and walk around. They would like the fence to be similar to the chain link section on the the side of the property. They would also like to move the gate from where it is, and re-install it where the new fence will be installed. Timing: fall 2015 budget: $4000"
,,,,,a,
,,,,,a,
,,,,,a,
0016000001C1sHa,johncascio,19-08-2015,Proposal,"Koller Residence, Lori",a,reviewed proposal. we scheduled a time to meet again this Friday when they get back in town from jersey. They will be here for 19 days. They have received quotes from 3 other companies. we are the most expensive. Their other quotes range from $4k-9k.
0016000001C2CwO,johncascio,19-08-2015,Proposal,"Drozdo residence, Teresa",a,"reviewed the proposal. Definitely more than what they expected. But, she needs to talk to her husband to discuss the total cost, as well as the possibility of phasing the project over a period of time."
0016000000WeMpL,johncascio,18-08-2015,Initial Meeting,Miceli Residence,a,"met with frank and lucy. they are looking to have new fencing installed along the edge of their property closest to the alley. City regulations limit them them to a 4'-high fence. They want privacy and are considering cedar, sierra blend vinyl, and trex.. Their budget may be limiting them to wood or vinyl. Timing: Fall 2015 Budget: $3500"
,,,,,a,
,,,,,a,
0016000001C1rzp,johncascio,18-08-2015,Proposal,Seymour Residence,a,met with harry and ethel. we reviewed both options for the drainage; and they have chosen to go with the more elaborate and more expensive option.
0016000001C2ZuU,johncascio,18-08-2015,Initial Meeting,Penn-Aire Aviation Inc.,a,"met with ellen and bruce. Bruce has his own maintenance crews that do all of his landscaping, mowing, and winter work. However, the crews are so far behind on landscaping that they just cant catch up to do the large task of pruning all of the arborvitaes on his properties. He is looking for some to prune the arbs (all of which are approximately 20-20' tall. they are starting to cover up the parking signs, and is becoming a major issue with his tenants. It is something that needs attended to rather promptly. AND, if the the job is reasonably priced and performed well, Bruce has another major project to be completed on his large farm near the airport. Timing: fall 2015 budget: couple thousand dollars"
,,,,,a,
,,,,,a,
0016000001C1rnM,johncascio,17-08-2015,Proposal,Stoll Residence,a,"met with mark and cassie. reviewed the proposal. it was more than what they were expecting from a cost perspective. However, they understand that quality comes with a cost. they would like to divide the jobs into to 3 separate opportunities (1. plantings, 2. walkway, 3. storage area). They would also like to change some of the plantings with more color added. Interested in KO rose bushes, blackeyed susans, and stellas. They are leaving this week for Miami; and would like to reconnect after the CC Fair."
,,,,,a,
,,,,,a,
0016000001C2ZqN,johncascio,17-08-2015,Initial Meeting,Ward Residence,a,"talked to Bob. bob's home burnt down last year and he recently had it rebuilt. Now he is looking for quotes to replace all the lawn and planting beds on his property. Bob has received quotes from other companies that have been rejected by the insurance company. the quotes range from $19k-$27k. The biggest issue the insurance company has is that the plants should not be included in the quote, because they feel the plants didn't burn up in the fire; and that they were removed by the company building the home. So, bob would like a quote from trace to install a new lawn and install new beds without the plantings. Timing: fall 2015 Budget: $10-$15k"
,,,,,a,
,,,,,a,
,,,,,a,
0016000001C1wBf,johncascio,17-08-2015,Concept Verification,"Billingsley Residence, Linda",a,went back out to review some pictures of past projects we completed. also took measurements for the project.
0016000001A3Hbj,johncascio,17-08-2015,Proposal,Morrison Residence,a,"met with carol. we revisited a project that trace price earlier this spring. she previously decided to go with another company because they were half the price of us. However, she recently met with other company that was supposed to do the work, and discovered the quote did not include any plantings. We reviewed all of the work and she decided to move forward with trace, got the contract signed while I was there."
,,,,,a,
0016000001C4xp2,johncascio,14-08-2015,Initial Meeting,"Moyer Residence, Jim",a,"talked to jim. Jim is looking to have a chainlink fence installed in the back/side section of his property. Looking to use it as an area for his dog to roam without having to be supervised. Jim doesn't trust his dog will stay on his property without supervision. He would need to have the gate include 1 man gate, and one swing gate to allow passageway for a lawn tractor. Has received quotes from other companies. Price shoping right now. Timing: fall 2015 Budget: $2000 *** Update... based on the amount of fence needed, Jim will need to wait until spring to consider this project...."
,,,,,a,
,,,,,a,
,,,,,a,
0016000001A1U1p,johncascio,14-08-2015,Initial Meeting,Aldrete,a,"met with hank and susan... they have been in florida for 3 months. hank recently had a few eye surgeries that kept them down there much longer than they anticipated. They are still interested in the landscaping project that we quoted for them this past spring. However, they would like to do it in the spring of 2016. Now, they need a new ramp installed to go with the new shed they just had built. they are open to ideas on material and design. they just want it to look nice and have drainage installed around shed. It is important that they are able to get the to the tractor via the ramp. Timing: fall 2015 budget: $5k"
,,,,,a,
,,,,,a,
,,,,,a,
0016000001C2CwO,johncascio,13-08-2015,Initial Meeting,"Drozdo residence, Teresa",a,"Met with Teresa. Teresa is looking to have someone install a new patio and walkway on their property. They recently bought 9 pallets of pavers from home depot that they would like to use for the project. Each pallet consists of 100 sq ft of pavers. She spent $5k on the material. They had a contractor lined up to do the job; but he recently got another job offer that is requiring him to move; and he will no longer be able to do the job. She has had a few people come out to give her quotes; but is not comfortable with any of them. Biggest issue at this point is coming up with a design that she will like; and also making sure we can use the pavers she already purchased. One other issue that is time sensitive is that the front portion of her property where she wants to install a walkway, it tends to get very wet and muddy in the spring. Timing: At least the walkway for this fall Budget: $8500 Timing"
,,,,,a,
,,,,,a,
,,,,,a,
0016000000eK2Cw,johncascio,13-08-2015,Initial Meeting,Adagio Health,a,"Talked to Jennifer. She found our original proposal from 4 years ago. They would like us to quote their year-round maintenance for this coming winter season and beyond. They have been using tim stultz for the past few years. However, he has been really slacking in service recently. They typically go with the lowest bid. However, due to lack of good service, they are considering paying more for better service. One big issue they have every winter, is the fact their parking lot is very small and contained; and need snow-removal services to be part of the quote. SOW: plowing at 2"" trigger, sidewalk shoveling at 2"" trigger, parking lot and sidewalk de-icing, mowing; and a per time cost for snow removal Timing: accepting bids until 1st week of September Budget: scheduled a meeting for next Tuesday to discuss budgets."
,,,,,a,
,,,,,a,
,,,,,a,
